code	product_name	energy_100g	proteins_100g	fat_100g	carbohydrates_100g	sugars_100g	energy-kcal_100g	saturated-fat_100g	salt_100g	sodium_100g	fiber_100g	fruits-vegetables-nuts-estimate-from-ingredients_100g	nutrition-score-fr_100g	prediction
3.0060127E9		2259.0	8.0	34.0	50.0	48.0	540.0	24.0	0.15	0.06	2.0	0.0	24.0	1
3.0060132E9		2259.0	8.0	34.0	50.0	48.0	540.0	24.0	0.15	0.06	2.0	0.0	24.0	1
3.0060134E9		2301.0	7.5	37.5	50.0	47.5	550.0	25.0	0.155	0.062	2.5	0.0	24.0	1
30182.0		2163.0	6.1	30.2	52.8	2.2	517.0	3.5	1.3	0.52	2.3	0.0	12.0	6
3.0264003E9		1021.0	4.44	4.44	53.33	6.67	244.0	0.0	0.195	0.078	4.4	0.0	-2.0	2
30977.0		272.0	5.6	2.3	5.3	5.3	64.9	1.4	0.1	0.04	0.8	28.6	-1.0	2
31103.0		1418.0	5.0	23.2	27.5	20.4	339.0	13.3	0.6	0.24	0.3	0.0	20.0	1
31141.0		1966.0	6.2	28.6	45.9	32.3	470.0	18.3	3.2	1.28	2.1	0.0	30.0	1
31172.0		1264.0	4.3	11.3	45.2	27.8	302.0	6.5	0.3	0.12	1.1	14.0	15.0	6
31288.0		1167.0	4.2	10.0	42.0	27.0	279.0	5.0	0.2	0.08	0.7	1.1	12.0	6
31318.0		310.0	0.6	0.2	17.4	16.0	74.0	0.1	0.1	0.04	1.4	12.5	2.0	2
31394.0		1619.0	4.5	18.0	50.3	35.0	387.0	5.3	0.38	0.152	2.4	19.0	15.0	6
31561.0		322.0	4.9	2.1	9.3	8.9	76.9	1.3	0.1	0.04	0.7	7.5	-1.0	2
31615.0		587.0	3.1	5.2	18.8	3.2	140.0	0.8	0.55	0.22	2.8	26.2	0.0	2
31646.0		234.0	0.0	0.0	14.0	13.0	56.0	0.0	0.0	0.0	0.7	25.0	2.0	2
31677.0		264.0	0.3	0.1	14.0	13.0	63.0	0.1	0.3	0.12	1.8	94.0	-3.0	5
31882.0		322.0	0.3	0.4	16.8	12.3	77.0	0.1	0.01	0.004	1.8	83.333336	-4.0	5
32810.0		1510.0	5.5	20.0	38.0	24.0	361.0	12.0	0.1	0.04	1.9	0.0	18.0	6
32841.0		1644.0	4.7	25.7	33.4	20.7	393.0	18.1	0.2	0.08	4.5	0.0	14.0	1
32858.0		996.0	2.6	8.6	35.8	21.7	238.0	5.1	0.1	0.04	3.3	45.0	7.0	2
33312.0		322.0	0.4	0.5	16.8	12.3	77.0	0.2	0.01	0.004	1.8	96.0	-4.0	5
33640.0		1824.0	9.09	10.91	74.55	25.45	436.0	0.91	0.25	0.1	5.5	0.0	6.0	6
33817.0		707.0	5.8	5.6	22.7	21.6	169.0	4.5	0.1	0.04	2.6	0.0	5.0	2
33909.0		527.0	2.8	6.7	13.7	13.7	126.0	4.6	0.08	0.032	0.5	0.0	7.0	2
34791.0		640.0	4.4	5.8	20.0	16.3	153.0	3.9	0.1	0.04	10.0	10.45	0.0	2
35316.0		267.0	5.7	2.4	4.6	4.5	63.9	1.4	0.1	0.04	1.7	28.6	-3.0	2
35927.0		541.0	20.0	4.7058825	0.0	0.0	129.41176	1.1764706	0.9411765	0.3764706	0.0	0.0	1.0	2
36351.0		3079.0	18.8	23.2	6.1	3.9	309.0	8.4	0.9	0.36	0.2	1.4545455	20.0	1
36559.0		761.0	8.080808	7.5757575	21.212122	1.5151515	181.81818	4.040404	0.7449495	0.2979798	1.0	0.0	2.0	2
36856.0		1071.0	0.5	0.5	62.9	49.3	256.0	0.1	0.08	0.032	0.5	0.0	13.0	6
38409.0		548.0	19.67	5.74	0.0	0.0	131.0	1.64	1.025	0.41	0.0	0.0	1.0	2
39352.0		1201.0	13.6	24.3	2.8	0.9	287.0	9.1	1.06	0.424	1.3	0.0	15.0	2
4.0		1631.0	32.3	45.5	3.5	3.5	598.0	4.4	0.1	0.04	5.6	9.0	-2.0	4
4.0000013E9		259.0	3.33	3.33	5.0	4.58	62.0	2.08	0.125	0.05	0.0	0.0	1.0	2
4.0000013E9		159.0	3.33	0.0	5.42	5.0	38.0	0.0	0.135	0.054	0.0	0.0	-1.0	2
4.0000013E9		226.0	3.33	2.08	5.0	5.0	54.0	1.25	0.135	0.054	0.0	0.0	0.0	2
4.0000013E9		192.0	3.33	1.04	5.42	5.0	46.0	0.62	0.135	0.054	0.0	0.0	-1.0	2
4.0000013E9		262.0	3.3333333	3.3333333	5.0	4.5833335	62.5	2.0833333	0.125	0.05	0.0	0.0	1.0	2
4.0000013E9		159.0	3.33	0.0	5.42	5.0	38.0	0.0	0.135	0.054	0.0	0.0	-1.0	2
4.0000013E9		227.0	3.3333333	2.0833333	5.0	5.0	54.166668	1.25	0.13541667	0.054166667	0.0	0.0	0.0	2
4.0000013E9		192.0	3.33	1.04	5.42	5.0	46.0	0.62	0.135	0.054	0.0	0.0	-1.0	2
4.0045755E9		723.0	6.7	7.0	20.0	3.6	172.0	1.7	0.69	0.276	1.3	18.4	-4.0	2
4.131848E9		75.0	0.0	0.0	4.82	2.41	18.0	0.0	0.03	0.012	0.0	0.0	0.0	2
4.150001E10		0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3	1.32	0.0	0.0	10.0	2
43366.0		586.0	3.1	5.2	18.8	3.2	140.0	0.7	0.55	0.22	2.8	35.0	0.0	2
43538.0		2141.0	5.0	34.0	45.0	0.6	514.0	2.9	1.05	0.42	5.4	0.0	7.0	0
43618.0		1879.0	5.5	13.8	73.9	0.1	449.0	1.5	0.9	0.36	1.1	0.0	5.0	6
45346.0		1674.0	9.09	14.55	60.0	21.82	400.0	2.73	0.1125	0.045	7.3	0.0	0.0	0
45483.0		1883.0	5.0	22.5	70.0	42.5	450.0	12.5	1.0	0.4	2.5	0.0	26.0	1
4.5670374E9		2092.0	14.29	28.57	57.14	42.86	500.0	14.29	0.715	0.286	0.0	0.0	28.0	1
4.590111E9		1795.0	0.0	0.0	92.86	78.57	429.0	0.0	0.0	0.0	0.0	0.0	15.0	3
46473.0		1732.0	24.9	34.2	1.6	0.1	414.0	21.4	2.0	0.8	0.0	0.0	18.0	1
47852.0		2159.0	5.7	28.2	58.5	14.7	516.0	16.0	0.75	0.3	2.7	0.0	20.0	1
48569.0		1569.0	12.5	7.5	67.5	2.5	375.0	0.0	0.0	0.0	10.0	0.0	-6.0	0
50678.0		4.0	0.1	0.1	0.1	0.1	1.0	0.1	0.02	0.008	0.1	0.0	2.0	2
50685.0		1485.0	0.1	0.2	80.5	52.4	355.0	0.6	0.18	0.072	0.1	0.0	14.0	3
5.100001E9		1013.0	4.04	9.09	34.34	25.25	242.0	5.05	0.24	0.096	0.0	0.0	14.0	6
5.216438E9		1162.0	11.111111	11.111111	44.444443	44.444443	277.77777	0.0	20.277779	8.111111	0.0	0.0	22.0	0
52368.0		2489.0	9.6	46.4	33.3	32.9	595.0	18.5	0.125	0.05	2.7	0.0	22.0	1
53327.0		1554.0	9.7	1.0	71.7	0.5	342.0	0.2	0.03	0.012	3.5	0.0	-4.0	0
53433.0		1508.0	7.3	1.3	79.8	1.3	356.0	0.26	0.03	0.012	1.3	0.0	-1.0	6
53525.0		941.0	10.8	10.2	21.7	2.8	225.0	4.3	1.1	0.44	1.7	2.6	4.0	2
53587.0		1047.0	13.2	10.3	25.1	3.9	250.0	3.5	1.15	0.46	1.9	7.0	10.0	2
54782.0		582.0	3.5	5.3	18.4	4.7	139.0	2.4	0.4	0.16	1.6	0.0	2.0	2
57813.0		448.0	7.14	0.0	21.43	0.0	107.0	0.0	1.4275	0.571	7.1	0.0	-2.0	2
57998.0		272.0	1.9	3.4	6.1	1.0	65.0	2.6	0.48	0.192	1.1	12.0	2.0	2
59718.0		326.0	2.8	4.2	5.4	0.7	78.0	2.3	0.33	0.132	3.9	46.0	-3.0	5
60790.0		2343.0	6.0	33.8	58.0	58.0	560.0	20.8	0.23	0.092	0.1	0.0	27.0	1
61360.0		2420.0	14.109347	47.61905	28.218695	3.5273368	578.4832	8.465609	0.03527337	0.014109347	0.0	0.0	15.0	1
6.167023E9		2201.0	13.16	28.95	55.26	50.0	526.0	5.26	0.1325	0.053	5.3	50.0	15.0	1
62145.0		157.0	3.3333333	0.0	5.0	4.5833335	37.5	0.0	0.098958336	0.039583333	0.0	0.0	-1.0	2
62176.0		558.0	3.3333333	11.666667	3.3333333	3.3333333	133.33333	6.6666665	0.0	0.0	0.0	0.0	5.0	2
62190.0		407.0	10.619469	4.424779	4.424779	2.6548672	97.34513	2.6548672	0.7079646	0.28318584	0.0	0.0	1.0	2
62299.0		556.0	8.2	4.5	13.9	8.4	133.0	4.4	2.5	1.0	2.2	17.0	14.0	2
62855.0		243.0	2.41	1.08	9.13	5.59	57.9	0.359	0.0513	0.0205	1.08	16.0	-1.0	2
6.345049E9		761.0	27.0	8.2	0.1	0.05	182.0	2.9	1.5	0.6	0.0	0.0	5.0	2
6.4234604E9		2247.0	4.88	31.71	58.54	56.1	537.0	21.95	0.1825	0.073	2.4	0.0	24.0	1
6.423461E9		2201.0	5.26	28.95	63.16	57.89	526.0	18.42	0.1325	0.053	2.6	0.0	24.0	1
6.423463E9		2301.0	5.0	32.5	60.0	57.5	550.0	22.5	0.22	0.088	2.5	0.0	24.0	1
6.446002E9		1891.0	4.76	28.57	45.24	42.86	452.0	19.05	0.12	0.048	2.4	0.0	22.0	1
6.446002E9		2301.0	5.0	32.5	55.0	52.5	550.0	22.5	0.1875	0.075	2.5	0.0	24.0	1
6.4460027E9		2360.0	5.13	35.9	56.41	53.85	564.0	23.08	0.095	0.038	2.6	0.0	25.0	1
6.4460027E9		2301.0	5.0	35.0	55.0	52.5	550.0	22.5	0.125	0.05	2.5	0.0	24.0	1
6.4460037E9		2406.0	7.5	40.0	52.5	50.0	575.0	25.0	0.1875	0.075	2.5	0.0	25.0	1
6.446004E9		2423.0	5.26	39.47	52.63	50.0	579.0	23.68	0.1975	0.079	2.6	0.0	25.0	1
64491.0		3404.0	0.5	92.0	0.5	0.5	828.0	10.1	0.01	0.004	0.5	0.0	11.0	1
65252.0		1075.0	7.2	7.2	40.0	9.4	257.0	1.0	0.95	0.38	1.8	0.0	4.0	2
65269.0		1155.0	6.6	9.7	39.8	15.1	276.0	2.8	0.55	0.22	1.5	6.0	5.0	2
65443.0		1268.0	2.0	0.3	68.2	36.9	303.0	0.1	0.01	0.004	9.3	50.0	5.0	3
68789.0		485.0	13.1	1.9	11.7	11.0	116.0	0.4	2.55	1.02	0.5	8.0	13.0	2
6.89453E9		2209.0	5.56	27.78	63.89	36.11	528.0	16.67	0.3125	0.125	5.6	0.0	20.0	1
7.0		1582.0	85.0	1.6	3.6	1.1	378.0	0.2	1.8	0.72	3.1	0.0	8.0	4
71093.0		2251.0	6.8	32.5	53.7	53.5	538.0	20.1	0.2	0.08	1.7	0.0	25.0	1
71406.0		142.0	2.1	1.3	2.7	1.7	34.0	0.2	0.38	0.152	1.6	29.0	-1.0	2
71574.0		209.0	1.3	0.3	10.1	8.1	50.0	0.1	0.03	0.012	1.0	76.0	2.0	5
71604.0		29.0	0.2	0.1	1.1	1.1	7.0	0.1	0.1	0.04	0.1	29.0	2.0	2
72861.0		310.0	3.0	1.1	12.4	1.7	74.0	0.2	0.55	0.22	1.0	0.0	0.0	2
72878.0		335.0	2.1	1.6	14.0	2.2	80.0	0.8	0.48	0.192	0.7	0.0	1.0	2
7.2935404E9		452.0	4.17	2.92	17.5	16.67	108.0	1.67	0.1775	0.071	0.0	0.0	3.0	2
73899.0		1720.0	22.9	34.4	1.9	1.1	411.0	21.2	1.38	0.552	1.2	0.0	15.0	1
73974.0		435.0	2.7	5.5	10.8	8.8	104.0	3.7	0.08	0.032	0.5	0.0	4.0	2
7.43004E9		314.0	1.67	0.0	16.67	10.0	75.0	0.0	1.48	0.592	0.8	11.111111	7.0	2
74742.0		1004.0	1.0	1.0	56.0	53.0	240.0	0.3	0.2	0.08	2.9	0.0	9.0	6
74957.0		843.0	9.8	9.5	18.4	1.3	201.0	2.0	0.8	0.32	1.5	0.0	0.0	2
75374.0		1488.0	13.3333	1.1111	75.5556	2.2222	355.5556	0.0	0.0555555	0.0222222	6.7	0.0	-6.0	0
76517.0		251.0	0.9	0.2	13.1	12.0	60.0	0.1	0.1	0.04	1.0	100.0	-4.0	5
76715.0		657.0	3.7	13.7	3.9	1.2	157.0	1.8	0.01	0.004	9.2	100.0	-10.0	5
76739.0		845.0	2.2	0.4	45.4	23.0	202.0	0.2	0.1	0.04	4.1	0.0	2.0	2
777.0		1550.0	81.5	0.0	7.41	0.0	370.0	0.0	0.0	0.0	0.0	0.0	-1.0	4
7.7815025E9		1021.0	8.89	7.78	42.22	2.22	244.0	3.33	1.555	0.622	6.7	0.0	7.0	0
7.8150026E9		1209.0	8.89	7.78	51.11	0.0	289.0	3.33	1.555	0.622	2.2	0.0	10.0	6
78504.0		1393.0	3.33	10.0	60.0	60.0	333.0	5.0	0.0	0.0	0.0	0.0	18.0	6
78832.0		226.0	0.7	0.2	11.9	10.9	54.0	0.1	0.1	0.04	1.1	100.0	-4.0	5
78900.0		423.0	4.8	2.2	14.9	8.3	101.0	0.6	0.08	0.032	1.3	0.0	-1.0	2
79211.0		1230.0	10.59	20.0	18.24	1.76	294.0	10.59	1.1475	0.459	0.6	0.0	18.0	6
79969.0		2510.0	20.0	53.333332	20.0	3.3333333	600.0	3.3333333	1.0	0.4	13.3	50.0	8.0	1
8.001E9		1046.0	3.57	25.0	10.71	0.0	250.0	0.0	1.205	0.482	3.6	0.0	3.0	2
8.0010004E9		1197.0	10.71	16.07	28.57	7.14	286.0	0.0	0.67	0.268	7.1	0.0	-4.0	2
8.0010004E9		895.0	3.57	21.43	10.71	0.0	214.0	3.57	1.115	0.446	3.6	0.0	4.0	2
8.0012E9		1197.0	3.57	25.0	10.71	0.0	286.0	3.57	2.26822	0.907288	3.6	0.0	13.0	2
8.003019E9		1238.0	11.27	2.82	54.93	1.41	296.0	0.0	0.07	0.028	2.8	0.0	-4.0	2
8.003019E9		1238.0	11.27	2.82	54.93	1.41	296.0	0.0	0.07	0.028	2.8	0.0	-4.0	2
8.003019E9		1238.0	11.27	2.82	54.93	1.41	296.0	0.0	0.07	0.028	2.8	0.0	-4.0	2
8.0030193E9		1213.0	14.0	9.0	39.0	1.0	290.0	4.5	0.825	0.33	0.0	0.0	5.0	2
8.004925E9		1088.0	12.6	4.72	40.94	0.79	260.0	2.76	0.63	0.252	2.4	0.0	0.0	2
8.00495E9		1021.0	14.96	7.09	33.86	1.57	244.0	3.54	0.61	0.244	5.5	0.0	-2.0	2
8.005111E9		1130.0	11.0	2.5	55.0	0.0	270.0	0.0	0.025	0.01	10.0	0.0	-7.0	0
8.005125E9		1088.0	10.0	3.0	46.0	1.0	260.0	1.5	0.375	0.15	3.0	0.0	-3.0	2
8.0051584E9		795.0	8.0	2.5	24.0	1.0	190.0	1.0	0.325	0.13	2.0	5.882353	-3.0	2
8.00516E9		837.0	9.0	4.0	36.0	1.0	200.0	2.0	0.55	0.22	3.0	5.5555553	-3.0	2
8.005658E9		1155.0	14.96	8.66	34.65	0.79	276.0	5.51	0.69	0.276	1.6	0.0	10.0	2
8.005912E9		1130.0	11.0	2.5	55.0	0.0	270.0	0.0	0.025	0.01	10.0	0.0	-7.0	0
8.0059136E9		1130.0	11.0	2.5	55.0	0.0	270.0	0.5	0.025	0.01	10.0	0.0	-7.0	0
8.005914E9		920.0	7.0	6.0	35.0	1.0	220.0	3.0	0.5	0.2	2.0	0.0	0.0	2
8.0059146E9		1004.0	6.0	7.0	37.0	1.0	240.0	3.0	0.65	0.26	2.0	0.0	1.0	2
